icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a73dc7,LXJ566  ,United States,1728145455.0,1728145455,-92.6871,31.3204,9745.98,False,217.52,291.65,0.0,,10279.38,,False,0
4cc573,ICE533  ,Iceland,1728145455.0,1728145455,-22.181,63.7322,1783.08,False,147.02,291.99,-4.55,,1844.04,,False,0
a9727f,N708CG  ,United States,1728145456.0,1728145456,-87.3427,36.6713,2270.76,False,84.48,166.98,6.5,,2438.4,,False,0
4cc574,ICE597  ,Iceland,1728145456.0,1728145456,-11.9125,53.8105,11582.4,False,248.06,332.32,0.33,,11658.6,2351,False,0
a29184,KAP747  ,United States,1728145455.0,1728145455,-69.787,43.6261,2407.92,False,74.09,232.33,0.33,,2438.4,,False,0
a1d49e,N217MH  ,United States,1728145456.0,1728145456,-74.0728,40.6783,350.52,False,40.6,98.75,0.65,,388.62,0160,False,0
46b8a7,AEE6TH  ,Greece,1728145455.0,1728145456,15.6002,48.5914,10980.42,False,235.03,313.94,0.0,,11049.0,6110,False,0
46b8a6,AEE913  ,Greece,1728145455.0,1728145455,27.854,36.4221,11582.4,False,228.94,293.86,0.0,,12100.56,4132,False,0
46b8a9,AEE8DT  ,Greece,1728145456.0,1728145456,19.8117,45.7404,11582.4,False,246.77,329.43,0.0,,11757.66,2667,False,0
acb892,SKW5706 ,United States,1728145455.0,1728145455,-93.4624,39.799,10058.4,False,240.2,63.0,0.0,,10485.12,,False,0
4402d9,OEITH   ,Austria,1728145455.0,1728145455,15.4737,52.2453,10980.42,False,245.24,273.13,-0.33,,11064.24,1000,False,0
4cc569,FPY617  ,Iceland,1728145451.0,1728145451,-25.9835,63.7353,8884.92,False,251.41,252.86,5.53,,8892.54,,False,0
71bf18,JNA755  ,Republic of Korea,1728145455.0,1728145455,121.7196,25.5611,4724.4,False,166.8,240.43,-5.53,,5052.06,,False,0
a56788,N4474F  ,United States,1728145455.0,1728145455,-74.7329,40.4618,579.12,False,50.13,128.75,-2.28,,632.46,,False,0
a0299e,AXLE10  ,United States,1728145454.0,1728145454,-112.1194,42.8486,12192.0,False,238.51,357.03,-0.33,,12755.88,,False,0
adb2de,TG55    ,United States,1728145455.0,1728145456,-104.4853,38.1347,1798.32,False,48.53,274.86,-0.33,,1851.66,,False,0
407151,SXN75A  ,United Kingdom,1728145455.0,1728145456,0.3678,51.1955,4419.6,False,109.96,195.47,17.88,,4533.9,2720,False,0
a2a61f,N27WH   ,United States,1728145455.0,1728145455,-81.7516,36.3956,1950.72,False,49.54,105.05,1.95,,2026.92,,False,0
a7e47d,N6076U  ,United States,1728145455.0,1728145455,-81.0829,29.349,2712.72,False,84.76,342.33,0.0,,2849.88,7406,False,0
a196f3,ENY3765 ,United States,1728145455.0,1728145455,-98.1442,30.4316,9753.6,False,218.92,245.42,0.33,,10317.48,,False,0
a3761c,DAL1367 ,United States,1728145057.0,1728145190,-121.5862,38.6926,,True,0.06,320.62,,,,,False,0
ad159b,PDT5963 ,United States,1728145456.0,1728145456,-80.412,41.1917,10363.2,False,213.97,277.88,0.65,,10721.34,3343,False,0
a8a1cb,N6551C  ,United States,1728145456.0,1728145456,-79.1838,34.7224,2499.36,False,79.51,310.8,-0.33,,2651.76,6073,False,0
a851f9,N635TA  ,United States,1728145456.0,1728145456,-75.1826,39.6318,8229.6,False,145.7,24.85,1.63,,8488.68,2057,False,0
a2ffc2,N29230  ,United States,1728145456.0,1728145456,-104.5568,38.5973,2491.74,False,50.72,220.48,-0.33,,2575.56,,False,0
a206d8,N23HB   ,United States,1728145455.0,1728145455,-96.4797,28.6194,2415.54,False,88.41,226.18,0.0,,2522.22,,False,0
406a62,EXS19PG ,United Kingdom,1728145455.0,1728145455,19.0898,45.7942,11277.6,False,223.72,135.28,0.33,,11422.38,2274,False,0
407d90,RRR1241 ,United Kingdom,1728145455.0,1728145455,21.3103,38.8595,12192.0,False,223.46,295.21,-0.33,,12565.38,7343,False,0
a3c60d,AAL1013 ,United States,1728145371.0,1728145371,-94.3211,28.3862,10668.0,False,242.16,141.82,-0.33,,11330.94,,False,0
06a110,QTR963  ,Qatar,1728145455.0,1728145455,80.5339,13.5767,11582.4,False,255.8,287.2,0.0,,12283.44,,False,0
a37634,N322ET  ,United States,1728145454.0,1728145456,-96.2699,32.5259,822.96,False,74.72,311.37,-0.98,,906.78,1200,False,0
